E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999981406641,0.9999999993698769,0.9999999995092282,0.9999999995092282,99.99999986314359,99.99999998606486,5.0,5.0,1e-19,21541.0,cn,12.304250478744507,0.005493327141902928,-2.293015162340927e-06,5.3619066961007285,5.040478255131156,2.1739999999997404e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999981355386,0.9999999993693286,0.9999999995092282,0.9999999995092282,99.99999986263104,99.99999998601004,5.0,5.0,5e-19,4313.0,cn,5.842643737792969,0.00547237209530721,-2.2981069304313117e-06,5.362364344080765,5.040481689403412,2.1740925781247405e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999981168274,0.9999999993676186,0.9999999995092282,0.9999999995092282,99.99999986075991,99.99999998583904,5.0,5.0,1e-18,2164.0,cn,2.4793221950531006,0.005407308022000832,-2.3139865682652744e-06,5.363790133466842,5.0404923554104215,2.1743800781247405e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999978025688,0.999999999366825,0.9999999995092282,0.9999999995092282,99.99999982933404,99.99999998575967,5.0,5.0,5e-18,479.0,cn,0.2897803783416748,0.003647650958680744,-2.321356602185505e-06,5.403216581531358,5.040497283114566,2.1745128906247405e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999966398433,0.9999999993509715,0.9999999995092282,0.9999999995092282,99.9999997130615,99.99999998417432,5.0,5.0,1e-17,312.0,cn,0.25301575660705566,0.0006032907056440389,-2.4686735277122585e-06,5.496067009575412,5.040592896164394,2.1770882812497397e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999853773093,0.9999999993608295,0.9999999995092282,0.9999999995092282,99.9999985868081,99.99999998516013,5.0,5.0,5e-17,524.0,cn,0.30751872062683105,0.000870816900471237,-2.3770443474453025e-06,5.810659766080307,5.040534061914608,2.17550390624974e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999826616934,0.999999999364727,0.9999999995092282,0.9999999995092282,99.99999831524651,99.99999998554988,5.0,5.0,1e-16,983.0,cn,0.44263625144958496,0.0018264233725288279,-2.340839838051268e-06,5.84502324486154,5.0405102415032035,2.1748621093747398e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999815944693,0.9999999993687513,0.9999999995092282,0.9999999995092282,99.9999982085241,99.9999999859523,5.0,5.0,5e-16,4810.0,cn,2.325269937515259,0.002195131659002298,-2.3034678317805903e-06,5.856804192504619,5.040485297719201,2.1741898437497408e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999993488129,0.9999999994203276,0.9999999995069945,0.9999999995069945,99.99999998418184,99.99999999133331,5.0,5.0,1e-19,7182.0,cn,9.036498308181763,0.0030231796061998407,-2.8279900123953984e-06,5.007802974492559,5.040479680588222,2.174035937499741e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999993474631,0.999999999420027,0.9999999995069945,0.9999999995069945,99.99999998404687,99.99999999130326,5.0,5.0,5e-19,1440.0,cn,2.898380994796753,0.0030761589224924005,-2.8416988257786614e-06,5.007509116921272,5.040486723935052,2.1742257812497407e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999993393509,0.9999999994169166,0.9999999995069945,0.9999999995069945,99.99999998323564,99.99999999099222,5.0,5.0,1e-18,726.0,cn,0.9369063377380371,0.003238319084190044,-2.9663644873737085e-06,5.0066422847549665,5.040550228380995,2.17593671874974e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999993286697,0.9999999994156141,0.9999999995069945,0.9999999995069945,99.99999998216752,99.99999999086197,5.0,5.0,5e-18,180.0,cn,0.25750041007995605,0.005397295694866371,-3.0088838797170894e-06,5.002822624674985,5.040571726621769,2.1765156249997404e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999991492642,0.9999999993587125,0.9999999995069945,0.9999999995069945,99.99999996422697,99.99999998517181,5.0,5.0,1e-17,145.0,cn,0.48626112937927246,0.0013483397471903897,-3.9217418603251665e-06,5.06988298200946,5.040993631544433,2.187846093749738e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999983761363,0.9999999994093035,0.9999999995069945,0.9999999995069945,99.99999988691418,99.9999999902309,5.0,5.0,5e-17,376.0,cn,0.5936636924743652,-0.010449183636702598,-3.1642914646527688e-06,5.336069268684149,5.040649817250752,2.1786171874997394e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999983574175,0.9999999994194175,0.9999999995069945,0.9999999995069945,99.9999998850423,99.9999999912423,5.0,5.0,1e-16,729.0,cn,0.7901222705841064,-0.010775788679905036,-2.8687493714826277e-06,5.3574497595092145,5.040500580522723,2.1745992187497408e-14
150.0,150.0,100.0,100.0,512.0,512.0,0.9999999983227912,0.9999999994198285,0.9999999995069945,0.9999999995069945,99.99999988157967,99.9999999912834,5.0,5.0,5e-16,3610.0,cn,3.5242772102355957,-0.010858562730685828,-2.8506282631235825e-06,5.365031349433292,5.040491303885936,2.174349218749741e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999995032082,0.9999999994596878,0.9999999995067408,0.9999999995067408,99.99999999964673,99.9999999952947,5.0,5.0,1e-19,5869.0,cn,15.974670648574829,0.000727054202667791,-3.1692458283276983e-06,5.030730782837321,5.040480349135749,2.1740523437497403e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999995017578,0.9999999994581998,0.9999999995067408,0.9999999995067408,99.9999999995017,99.9999999951459,5.0,5.0,5e-19,1178.0,cn,4.036410331726074,0.0008270311948574281,-3.2781764223696672e-06,5.029978846478465,5.040532306074731,2.17545234374974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.999999999502979,0.9999999994596875,0.9999999995067408,0.9999999995067408,99.99999999962382,99.99999999529467,5.0,5.0,1e-18,594.0,cn,2.3989028930664062,0.0011292204235451035,-3.1696707061642144e-06,5.0275648155833235,5.040480552029679,2.17405781249974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994962442,0.9999999994346681,0.9999999995067408,0.9999999995067408,99.99999999895034,99.99999999279272,5.0,5.0,5e-18,154.0,cn,0.8026037216186523,0.005829161544087026,-4.191042324916498e-06,5.000087560525662,5.0409095846600795,2.1855914062497384e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999994816807,0.9999999994318162,0.9999999995067408,0.9999999995067408,99.99999999749399,99.99999999250754,5.0,5.0,1e-17,131.0,cn,0.7947807312011719,0.0018374535500416105,-4.311257704758516e-06,5.064323314803911,5.0409527793318345,2.1867492187497387e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999993997191,0.9999999994596445,0.9999999995067408,0.9999999995067408,99.99999998929782,99.99999999529037,5.0,5.0,5e-17,369.0,cn,1.4271280765533447,-0.010662409672095476,-3.193245109887833e-06,5.327434451409715,5.040491755462143,2.1743597656247398e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.999999999378158,0.9999999994551123,0.9999999995067408,0.9999999995067408,99.99999998714172,99.99999999483715,5.0,5.0,1e-16,721.0,cn,4.895800828933716,-0.010976133774277284,-3.348328486020501e-06,5.348739807934437,5.040567058185539,2.17638828124974e-14
150.0,150.0,100.0,100.0,1024.0,1024.0,0.9999999993770409,0.9999999994596818,0.9999999995067408,0.9999999995067408,99.99999998703001,99.99999999529409,5.0,5.0,5e-16,3573.0,cn,10.305789232254028,-0.011074564359926488,-3.1760843476428138e-06,5.355003811368525,5.040483609992848,2.174140234374741e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995176054,0.9999999994820667,0.9999999995067105,0.9999999995067105,100.00000000108949,99.99999999753562,5.0,5.0,1e-19,5595.0,cn,62.117583990097046,0.00018298688214846303,-3.3555072999736777e-06,5.03793946910352,5.040481628004094,2.1740859374997398e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995174915,0.9999999994811011,0.9999999995067105,0.9999999995067105,100.00000000107809,99.99999999743905,5.0,5.0,5e-19,1123.0,cn,18.373408555984497,0.00029557085591558726,-3.4423805675384036e-06,5.037033485570148,5.040521840575614,2.1751695312497402e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995175076,0.9999999994803067,0.9999999995067105,0.9999999995067105,100.00000000107971,99.99999999735962,5.0,5.0,1e-18,567.0,cn,12.251216888427734,0.0006381329534416746,-3.4812545794686435e-06,5.034210580122892,5.040539155278548,2.1756359374997406e-14
150.0,150.0,100.0,100.0,2048.0,2048.0,0.9999999995175105,0.999999999477608,0.9999999995067105,0.9999999995067105,100.00000000108,99.99999999708974,5.0,5.0,5e-18,148.0,cn,5.955403089523315,0.005992187924869287,-3.737727537938698e-06,5.000047312001122,5.040650542392802,2.1786339843747396e-14
