energy,d1i,d1r,d2i,d2r
0.100000,9.199675e-28,-3.685613e-28,-3.282830e-30,-1.113590e-29
0.101003,1.228898e-27,-1.182627e-27,3.848222e-31,-8.227636e-30
0.102007,2.914198e-27,5.877833e-27,1.171876e-30,-5.432374e-30
0.103010,-2.399707e-27,-3.351829e-28,6.916209e-31,-5.430118e-30
0.104013,-1.449288e-27,1.045287e-27,1.122411e-30,-4.793872e-30
0.105017,7.604802e-28,2.833194e-28,1.416694e-30,-3.893014e-30
0.106020,-2.057719e-28,4.198833e-28,1.600386e-30,-3.219724e-30
0.107023,-2.870031e-28,2.619576e-28,6.009514e-31,-3.615316e-30
0.108027,-6.473856e-28,7.561729e-28,8.063454e-31,-3.665012e-30
0.109030,7.747792e-28,-1.629522e-28,7.488028e-31,-3.235108e-30
0.110033,-2.935994e-29,7.892137e-28,1.065341e-30,-3.351143e-30
0.111037,-7.790927e-29,3.260925e-28,-1.341527e-31,-3.883883e-30
0.112040,-4.737399e-28,8.698826e-28,-2.416411e-31,-5.235390e-30
0.113043,6.464470e-28,-4.047342e-28,-1.648766e-30,-5.374969e-30
0.114047,2.413589e-28,1.127459e-27,1.060662e-29,-1.061228e-29
0.115050,-5.004679e-29,3.823658e-28,1.379897e-30,2.242849e-30
0.116054,-3.388640e-28,1.068767e-27,2.925018e-30,-4.442918e-31
0.117057,4.039231e-28,-5.733145e-28,2.497613e-30,-1.040508e-30
0.118060,6.578452e-28,1.449781e-27,3.517726e-31,-2.686047e-30
0.119064,-1.265301e-28,5.024321e-28,3.262353e-31,6.655377e-30
0.120067,-1.667972e-28,1.322487e-27,6.101640e-30,5.440329e-30
0.121070,3.935146e-29,-6.493247e-28,3.935031e-29,2.630319e-29
0.122074,1.265896e-27,1.730823e-27,1.217556e-28,-7.686380e-29
0.123077,-3.019386e-28,7.768302e-28,3.436934e-29,-3.387483e-28
0.124080,6.135415e-29,1.615964e-27,2.772786e-30,3.952806e-28
0.125084,-4.936559e-28,-6.193749e-28,-9.633887e-29,1.184739e-28
0.126087,2.094367e-27,1.923837e-27,-5.405147e-29,-1.550541e-29
0.127090,-5.494138e-28,1.326355e-27,-1.486649e-30,-9.727923e-30
0.128094,3.788006e-28,1.977474e-27,-7.233035e-30,-4.577079e-30
0.129097,-1.231630e-27,-3.385088e-28,2.205082e-30,-1.539933e-30
0.130100,3.242502e-27,1.964564e-27,-1.248662e-30,-2.257129e-30
0.131104,-8.467072e-28,2.407100e-27,1.283793e-30,-4.787280e-30
0.132107,7.879670e-28,2.435736e-27,-1.820765e-30,-1.396757e-30
0.133110,-2.284062e-27,3.766612e-28,1.953055e-30,-1.746226e-30
0.134114,4.851845e-27,1.716790e-27,-6.803909e-31,-2.188838e-30
0.135117,-1.083229e-27,4.531432e-27,-8.353056e-31,-4.684332e-30
0.136120,1.284851e-27,3.117356e-27,-1.378909e-30,-1.018897e-30
0.137124,-3.886780e-27,2.033088e-27,1.325408e-30,-2.563874e-30
0.138127,7.226752e-27,8.848288e-28,-1.790463e-30,-2.583526e-30
0.139130,-9.390293e-28,8.992306e-27,-3.073744e-30,-4.739943e-30
0.140134,1.779839e-27,4.420844e-27,-1.691646e-30,-1.053410e-30
0.141137,-6.665600e-27,6.162625e-27,3.449140e-31,-3.927493e-30
0.142140,1.107597e-26,-1.363778e-27,-4.862303e-30,-2.628810e-30
0.143144,7.495089e-28,2.011578e-26,-7.486912e-30,-4.479949e-30
0.144147,1.459332e-27,8.028761e-27,-3.189480e-30,5.687496e-32
0.145151,-1.312119e-26,1.935420e-26,-2.321144e-30,-5.222968e-30
0.146154,1.742909e-26,-8.533270e-27,-1.157537e-29,1.774329e-30
0.147157,9.589720e-27,6.053397e-26,-1.749020e-29,7.194911e-31
0.148161,-1.282439e-26,2.390509e-26,-2.496762e-30,6.918531e-30
0.149164,-4.488940e-26,8.985319e-26,-7.700682e-30,-4.889715e-30
0.150167,-1.230132e-26,-7.387356e-26,-3.167310e-29,4.475027e-29
0.151171,1.489379e-25,3.998289e-25,-6.869540e-29,1.058689e-28
0.152174,-9.510636e-25,2.729701e-25,2.705839e-28,-1.406569e-28
0.153177,-3.920950e-25,-1.211107e-24,-2.671509e-29,-5.559248e-30
0.154181,9.276280e-25,-4.034556e-25,-6.968320e-29,-1.495578e-31
0.155184,2.696986e-25,3.622287e-25,-1.287706e-29,-9.327064e-30
0.156187,3.850796e-26,1.056738e-25,-1.270942e-29,7.614166e-30
0.157191,-2.323261e-26,9.902020e-26,6.084623e-30,9.374314e-30
0.158194,4.118268e-27,-2.580558e-26,-4.730268e-30,7.138821e-30
0.159197,3.473704e-26,4.829850e-26,-5.212581e-30,-1.120344e-31
0.160201,-7.476609e-27,1.689118e-26,5.422580e-30,7.504865e-30
0.161204,9.313100e-28,2.376980e-26,7.864791e-30,-1.381851e-30
0.162207,-6.281997e-27,-5.734370e-27,1.489266e-31,-9.318329e-31
0.163211,1.559362e-26,1.303164e-26,-1.264956e-30,5.365172e-30
0.164214,-4.721329e-27,9.594779e-27,2.649467e-29,1.309002e-29
0.165217,1.757805e-27,9.171869e-27,-3.381469e-29,1.023982e-29
0.166221,-4.836189e-27,-8.024034e-28,-3.072356e-30,-1.019272e-30
0.167224,8.353824e-27,4.254013e-27,-5.883415e-30,-6.236520e-30
0.168227,-2.552896e-27,6.643229e-27,-6.978708e-30,-6.639344e-30
0.169231,1.271331e-27,4.376463e-27,-3.797676e-30,-3.445842e-30
0.170234,-3.377323e-27,7.809037e-28,-5.168248e-30,-1.135276e-29
0.171237,4.832275e-27,1.156492e-27,9.244134e-30,-1.413472e-29
0.172241,-1.244221e-27,4.973855e-27,7.717852e-30,2.125311e-30
0.173244,7.395596e-28,2.329568e-27,2.147479e-30,-4.697042e-31
0.174247,-2.285134e-27,1.335603e-27,3.562550e-30,9.715966e-31
0.175251,2.815521e-27,-8.267451e-29,3.630955e-31,-8.709764e-31
0.176254,-4.116328e-28,3.832190e-27,1.906192e-30,4.981326e-31
0.177258,3.007075e-28,1.360922e-27,7.195567e-31,-6.662122e-32
0.178261,-1.483515e-27,1.470597e-27,1.827385e-30,3.543380e-31
0.179264,1.555868e-27,-5.512481e-28,-3.336003e-33,-1.727420e-31
0.180268,1.259441e-28,2.955971e-27,1.404351e-30,3.091866e-31
0.181271,-2.841576e-29,9.009045e-28,5.006541e-31,2.205792e-31
0.182274,-9.011285e-28,1.407798e-27,1.383019e-30,3.242448e-31
0.183278,7.400074e-28,-6.584393e-28,5.171867e-32,4.052381e-31
0.184281,4.596850e-28,2.241878e-27,1.193120e-30,4.210388e-31
0.185284,-2.530576e-28,7.036833e-28,3.073817e-31,6.306604e-31
0.186288,-4.885815e-28,1.249055e-27,9.722383e-31,4.656282e-31
0.187291,2.124074e-28,-5.897442e-28,-4.306887e-33,8.800924e-31
0.188294,6.436053e-28,1.646787e-27,8.093752e-31,6.600625e-31
0.189298,-3.845528e-28,6.439655e-28,-2.439590e-31,1.155531e-30
0.190301,-2.103961e-28,1.049645e-27,-1.209363e-31,5.509338e-31
0.191304,-1.157333e-28,-4.409629e-28,-8.975477e-31,5.802098e-31
0.192308,7.153071e-28,1.152047e-27,3.043064e-32,-4.001501e-31
0.193311,-4.370630e-28,6.500802e-28,-2.045439e-31,1.853471e-31
0.194314,-3.886328e-29,8.431237e-28,1.837693e-31,-1.947315e-31
0.195318,-3.015001e-28,-2.659670e-28,-2.785264e-31,3.809623e-31
0.196321,7.043056e-28,7.486539e-28,1.771238e-31,-5.120817e-31
0.197324,-4.265057e-28,6.783431e-28,1.934077e-32,1.952693e-31
0.198328,4.942345e-29,6.509569e-28,1.787100e-31,-2.819396e-31
0.199331,-3.852741e-28,-9.625798e-29,-3.403672e-32,3.601741e-31
0.200334,6.353520e-28,4.305496e-28,1.002720e-31,-5.479291e-31
0.201338,-3.696701e-28,7.019919e-28,1.605254e-31,1.850531e-31
0.202341,7.528053e-29,4.866124e-28,1.112271e-31,-3.183075e-31
0.203344,-3.976921e-28,5.003932e-29,1.417106e-31,3.172594e-31
0.204348,5.296230e-28,1.915744e-28,-9.130735e-33,-5.333278e-31
0.205351,-2.832334e-28,7.057941e-28,2.886634e-31,1.481620e-31
0.206355,5.758139e-29,3.575058e-28,3.461695e-32,-3.151286e-31
0.207358,-3.630210e-28,1.635756e-28,2.882474e-31,2.501980e-31
0.208361,4.050460e-28,2.424376e-29,-1.099627e-31,-4.720582e-31
0.209365,-1.827261e-28,6.829385e-28,4.105325e-31,8.203621e-32
0.210368,1.328314e-29,2.661197e-28,-3.204520e-32,-2.766072e-31
0.211371,-3.008257e-28,2.411213e-28,4.138489e-31,1.587892e-31
0.212375,2.763270e-28,-8.049897e-29,-1.845350e-31,-3.747342e-31
0.213378,-8.160517e-29,6.328446e-28,5.213166e-31,-1.776700e-32
0.214381,-4.288089e-29,2.108725e-28,-7.652884e-32,-2.104907e-31
0.215385,-2.267896e-28,2.838262e-28,5.210779e-31,3.871483e-32
0.216388,1.549326e-28,-1.330038e-28,-2.186037e-31,-2.534367e-31
0.217391,9.442856e-30,5.593501e-28,6.174520e-31,-1.529939e-31
0.218395,-9.882420e-29,1.869915e-28,-8.205894e-32,-1.213704e-31
0.219398,-1.531096e-28,2.959215e-28,6.125225e-31,-1.069124e-31
0.220401,4.914639e-29,-1.443632e-28,-1.973148e-31,-1.117946e-31
0.221405,8.288627e-29,4.690913e-28,6.938206e-31,-3.119247e-31
0.222408,-1.454729e-28,1.874688e-28,-3.798609e-32,-6.021657e-33
0.223411,-8.870929e-29,2.836466e-28,6.808543e-31,-2.678305e-31
0.224415,-3.576734e-29,-1.257736e-28,-1.183466e-31,4.874290e-32
0.225418,1.344069e-28,3.700672e-28,7.364336e-31,-4.860016e-31
0.226421,-1.769589e-28,2.040840e-28,5.967182e-32,1.308234e-31
0.227425,-3.940549e-29,2.543114e-28,7.148891e-31,-4.467072e-31
0.228428,-9.730297e-29,-8.790645e-29,2.577265e-32,2.166588e-31
0.229431,1.626699e-28,2.704163e-28,7.400316e-31,-6.804766e-31
0.230435,-1.905680e-28,2.284278e-28,2.323829e-31,2.778304e-31
0.231438,-8.117288e-30,2.154576e-28,7.156442e-31,-6.553031e-31
0.232441,-1.353635e-28,-4.036034e-29,2.679215e-31,3.831845e-31
0.233445,1.688692e-28,1.774542e-28,7.127077e-31,-9.077704e-31
0.234448,-1.864260e-28,2.528287e-28,5.339077e-31,4.316796e-31
0.235452,4.827221e-30,1.741236e-28,6.924298e-31,-9.160106e-31
0.236455,-1.518424e-28,8.765163e-30,6.905596e-31,5.513873e-31
0.237458,1.561327e-28,9.700016e-29,6.714674e-31,-1.205664e-30
0.238462,-1.669567e-28,2.710900e-28,1.107288e-30,6.058715e-31
0.239465,1.262587e-30,1.362395e-28,6.650108e-31,-1.304676e-30
0.240468,-1.501581e-28,5.315211e-29,1.567095e-30,7.535053e-31
0.241472,1.288708e-28,3.299271e-29,6.592695e-31,-1.735175e-30
0.242475,-1.361856e-28,2.789705e-28,2.569150e-30,8.899345e-31
0.243478,-1.535868e-29,1.061862e-28,7.159496e-31,-2.235263e-30
0.244482,-1.347599e-28,8.839885e-29,4.756372e-30,1.273672e-30
0.245485,9.213684e-29,-1.262722e-29,1.004817e-30,-4.106244e-30
0.246488,-9.898130e-29,2.743772e-28,1.843674e-29,3.624190e-30
0.247492,-4.059483e-29,8.654997e-29,-3.742159e-30,2.243250e-29
0.248495,-1.106269e-28,1.120115e-28,-1.150581e-29,-2.001339e-30
0.249498,5.105271e-29,-3.981025e-29,6.002609e-31,1.225419e-30
0.250502,-6.032982e-29,2.572815e-28,-3.483145e-30,-1.759102e-31
0.251505,-6.967336e-29,7.809208e-29,8.974133e-31,1.236618e-30
0.252508,-8.278649e-29,1.232643e-28,-2.550840e-30,1.001041e-30
0.253512,1.033275e-29,-5.012309e-29,-5.901998e-32,7.067484e-31
0.254515,-2.472259e-29,2.294049e-28,-2.046206e-30,5.794272e-31
0.255518,-9.811161e-29,7.992901e-29,7.394267e-32,2.806987e-31
0.256522,-5.587981e-29,1.229462e-28,-1.583238e-30,7.782972e-31
0.257525,-2.607441e-29,-4.636374e-29,-2.066236e-31,9.515965e-32
0.258528,4.288934e-30,1.937466e-28,-1.281181e-30,5.431075e-31
0.259532,-1.222286e-28,8.989629e-29,-7.423791e-32,-5.430721e-32
0.260535,-3.381356e-29,1.130213e-28,-1.021684e-30,7.209139e-31
0.261538,-5.521763e-29,-3.212826e-29,-3.044524e-31,-9.456734e-32
0.262542,2.434447e-29,1.540373e-28,-8.525313e-31,5.103637e-31
0.263545,-1.394820e-28,1.050361e-28,-1.941483e-31,-1.841595e-31
0.264548,-1.953466e-29,9.624764e-29,-6.618070e-31,6.619863e-31
0.265552,-7.524975e-29,-1.139563e-29,-3.996721e-31,-1.484358e-31
0.266555,3.433352e-29,1.142131e-28,-5.702156e-31,4.544968e-31
0.267559,-1.485823e-28,1.221034e-28,-3.042943e-31,-2.189266e-31
0.268562,-1.493263e-29,7.585389e-29,-4.049637e-31,5.784823e-31
0.269565,-8.544391e-29,1.179083e-29,-4.848971e-31,-1.272712e-31
0.270569,3.431958e-29,7.801766e-29,-3.736542e-31,3.705617e-31
0.271572,-1.494380e-28,1.378896e-28,-3.959839e-31,-1.871373e-31
0.272575,-2.066766e-29,5.534420e-29,-2.250663e-31,4.629769e-31
0.273579,-8.627478e-29,3.351810e-29,-5.406234e-31,-5.221930e-32
0.274582,2.552464e-29,4.872394e-29,-2.538305e-31,2.622658e-31
0.275585,-1.434177e-28,1.493318e-28,-4.435259e-31,-1.108867e-31
0.276589,-3.571087e-29,3.784598e-29,-1.268083e-31,3.330271e-31
0.277592,-7.965316e-29,5.046036e-29,-5.459697e-31,4.316750e-32
0.278595,1.027602e-29,2.858445e-29,-2.088717e-31,1.597484e-31
0.279599,-1.339058e-28,1.545562e-28,-4.390709e-31,-3.468425e-32
0.280602,-5.812117e-29,2.462174e-29,-9.280825e-32,2.256844e-31
0.281605,-6.838183e-29,6.062797e-29,-5.142155e-31,1.217721e-31
0.282609,-8.828593e-30,1.847566e-29,-2.088222e-31,8.832449e-32
0.283612,-1.250780e-28,1.541713e-28,-4.114200e-31,1.619842e-32
0.284615,-8.709324e-29,1.547370e-29,-8.698158e-32,1.483912e-31
0.285619,-5.524528e-29,6.280402e-29,-4.708424e-31,1.787982e-31
0.286622,-2.951137e-29,1.862372e-29,-2.267235e-31,4.346075e-32
0.287625,-1.210248e-28,1.504027e-28,-3.816207e-31,4.800551e-32
0.288629,-1.233203e-28,9.782152e-30,-9.353462e-32,8.916158e-32
0.289632,-4.340927e-29,5.559193e-29,-4.243607e-31,2.219368e-31
0.290635,-4.972542e-29,2.920803e-29,-2.544030e-31,1.609393e-32
0.291639,-1.272705e-28,1.470748e-28,-3.540969e-31,6.848047e-32
0.292642,-1.704400e-28,5.845512e-30,-1.102839e-31,4.157103e-32
