energy,d1i,d1r,d2i,d2r
0.1451505,3.63228146E-029,-2.99343083E-029,1.14074652E-032,5.92598116E-032
0.11505017,2.3972414E-031,-8.62609773E-031,2.43434491E-030,-1.89964161E-030
0.17023411,2.0297475E-030,-2.87235878E-030,-2.12520837E-031,-4.13050754E-031
0.16020067,4.03697149E-031,-5.32377632E-029,2.58725133E-030,-3.95544156E-030
0.11003344,1.23008296E-031,-3.1810035E-031,-1.9647045E-031,1.43918864E-031
0.13511706,5.29127391E-030,-6.91931009E-030,-3.91328205E-030,1.0592476E-030
0.15518395,1.69212757E-029,-4.93874251E-028,-5.14865833E-030,-4.21880405E-030
0.13010033,1.29146704E-030,-2.66282853E-030,8.92925555E-031,-5.97569825E-031
0.12006689,-4.23404406E-031,-2.34281028E-030,1.56022887E-030,7.24363999E-030
0.15016722,4.34571049E-028,-7.51445484E-029,-2.58418921E-031,-1.47463236E-030
0.12508361,1.39462942E-030,-2.82747351E-031,1.5040964E-029,7.3390491E-030
0.1,6.4474036E-031,-1.57051064E-030,1.9169604E-032,1.62661583E-031
0.17525084,2.32682852E-030,-3.7756288E-030,-4.11914726E-031,3.97647185E-031
0.14013378,6.77577854E-030,-8.28064392E-030,1.45824002E-031,-3.85871137E-032
0.16521739,5.87626528E-030,-1.26664643E-029,6.59128381E-031,3.03069525E-031
0.10501672,6.04396592E-031,-3.81094525E-032,6.81972104E-032,1.46953686E-031
0.11605351,-1.90720711E-030,-3.35183469E-031,2.50474576E-031,5.03701509E-030
0.14615385,6.77094546E-029,-1.92490893E-029,1.38511218E-031,-2.16419858E-031
0.16120401,2.97661442E-029,-2.94096516E-029,-9.92274033E-031,1.16762901E-030
0.15618729,1.30383946E-028,-1.81712898E-028,1.27535889E-030,2.05727959E-030
0.1361204,2.13341973E-030,-1.85159939E-030,9.91834583E-031,1.56442752E-030
0.13110368,2.14399276E-030,-2.47134562E-030,5.5962938E-031,-3.01337926E-031
0.17123746,-2.9311214E-031,-3.23926324E-030,3.96287501E-031,-5.34808867E-031
0.12608696,6.11715482E-031,-2.29373418E-030,-7.89350943E-030,-2.38558099E-030
0.15117057,6.6534515E-028,6.01131396E-028,-6.12706404E-030,-9.51540259E-030
0.11103679,1.90683238E-032,-6.17503866E-031,-4.12575945E-031,2.53168921E-031
0.10100334,1.22684746E-030,-2.13504473E-030,5.85918618E-032,5.17883966E-032
0.17625418,1.2220016E-030,-3.32433104E-030,-6.83452387E-032,-4.61378419E-032
0.12107023,-2.50022602E-031,-1.36703657E-030,3.7272934E-030,-8.02299406E-031
0.16622074,8.02043446E-030,-7.33799618E-030,3.99115285E-031,-2.6832797E-031
0.14113712,9.75929761E-030,-1.27217584E-029,4.80790989E-032,7.42848749E-032
0.10602007,1.94376572E-032,-4.17794696E-031,9.98283517E-032,1.85419855E-031
0.11705686,5.06018151E-030,-7.02936907E-030,7.50489797E-031,-2.15131381E-030
0.16220736,1.47684747E-029,-1.36043408E-029,3.36307395E-031,1.56036454E-031
0.1270903,1.48322986E-030,-1.63649809E-030,-7.16219336E-030,1.10669413E-029
0.14715719,5.9967315E-029,-1.07970565E-031,4.23937938E-032,-9.09023087E-031
0.13712375,4.04048226E-030,-8.80778021E-030,2.93825089E-031,4.11744172E-031
0.1722408,-1.18212421E-030,-4.75191872E-030,2.09156457E-031,-7.27925348E-032
0.15719064,7.02671238E-029,-6.81981428E-029,5.05753834E-031,1.05006203E-031
0.10200669,1.06105512E-030,3.06391515E-030,5.09933589E-032,6.90398049E-032
0.11204013,-6.77104853E-031,-7.25807715E-031,-8.52815964E-031,-2.26478319E-031
0.12207358,6.2589958E-031,-2.34459736E-030,-2.22523328E-030,9.51011934E-031
0.13210702,3.08472661E-030,-2.96844467E-030,2.89700873E-030,1.15804492E-031
