metodo,psi2,tempo,z
Solucao Analitica,6.512238703555473e-35,0.00e+00,-425.0
Solucao Analitica,8.510579099953362e-36,0.00e+00,-424.58475818270637
Solucao Analitica,3.1797122189742877e-35,0.00e+00,-424.1695163654128
Solucao Analitica,1.4649598347122758e-35,0.00e+00,-423.7542745481192
Solucao Analitica,1.1402295202976187e-36,0.00e+00,-423.33903273082564
Solucao Analitica,3.9005841296160555e-35,0.00e+00,-422.923790913532
Solucao Analitica,1.362581623595347e-34,0.00e+00,-422.5085490962384
Solucao Analitica,1.3194924087980177e-36,0.00e+00,-422.0933072789448
Solucao Analitica,4.6702390558169483e-35,0.00e+00,-421.6780654616512
Solucao Analitica,2.778942113740814e-35,0.00e+00,-421.2628236443576
Solucao Analitica,1.9011417072642709e-35,0.00e+00,-420.847581827064
Solucao Analitica,6.441709042506136e-36,0.00e+00,-420.43234000977037
Solucao Analitica,3.056285312137947e-36,0.00e+00,-420.01709819247685
Solucao Analitica,6.790610459509575e-35,0.00e+00,-419.6018563751832
Solucao Analitica,1.907313052606088e-35,0.00e+00,-419.18661455788964
Solucao Analitica,1.4388050854064796e-35,0.00e+00,-418.771372740596
Solucao Analitica,9.289344107373126e-36,0.00e+00,-418.35613092330243
Solucao Analitica,3.9951563235595543e-35,0.00e+00,-417.9408891060088
Solucao Analitica,4.4483644970992415e-35,0.00e+00,-417.5256472887152
Solucao Analitica,1.0504217518947961e-34,0.00e+00,-417.1104054714216
Solucao Analitica,2.4041798210192833e-35,0.00e+00,-416.695163654128
Solucao Analitica,4.931492675287202e-35,0.00e+00,-416.2799218368344
Solucao Analitica,5.843676291525297e-35,0.00e+00,-415.86468001954086
Solucao Analitica,3.4712348179782155e-35,0.00e+00,-415.4494382022472
Solucao Analitica,9.590270661183632e-35,0.00e+00,-415.0341963849536
Solucao Analitica,1.2335931591116793e-34,0.00e+00,-414.61895456766
Solucao Analitica,3.1071254428110115e-35,0.00e+00,-414.2037127503664
Solucao Analitica,9.227630653954957e-36,0.00e+00,-413.7884709330728
Solucao Analitica,1.986585452889666e-35,0.00e+00,-413.37322911577917
Solucao Analitica,2.845871823340758e-35,0.00e+00,-412.9579872984856
Solucao Analitica,6.373824243746148e-35,0.00e+00,-412.54274548119196
Solucao Analitica,4.4316137026000244e-35,0.00e+00,-412.12750366389844
Solucao Analitica,6.226267269945254e-35,0.00e+00,-411.7122618466048
Solucao Analitica,1.1284684178023857e-35,0.00e+00,-411.2970200293112
Solucao Analitica,2.538645761711148e-35,0.00e+00,-410.8817782120176
Solucao Analitica,3.807033139653091e-35,0.00e+00,-410.466536394724
Solucao Analitica,2.8515023403428658e-36,0.00e+00,-410.0512945774304
Solucao Analitica,2.069701190498667e-34,0.00e+00,-409.6360527601368
Solucao Analitica,5.818198330776376e-35,0.00e+00,-409.2208109428432
Solucao Analitica,2.2409263495014963e-34,0.00e+00,-408.8055691255496
Solucao Analitica,1.7790276280582195e-35,0.00e+00,-408.390327308256
Solucao Analitica,1.6080678806354873e-35,0.00e+00,-407.97508549096244
Solucao Analitica,4.1477005409632073e-35,0.00e+00,-407.5598436736688
Solucao Analitica,3.88123385220655e-35,0.00e+00,-407.1446018563752
Solucao Analitica,2.362093499907627e-34,0.00e+00,-406.7293600390816
Solucao Analitica,1.5392586999949113e-35,0.00e+00,-406.31411822178796
Solucao Analitica,9.324489278477967e-35,0.00e+00,-405.8988764044944
Solucao Analitica,2.294655496353161e-35,0.00e+00,-405.48363458720075
Solucao Analitica,1.4671041290602477e-34,0.00e+00,-405.0683927699072
Solucao Analitica,3.4701522433859174e-35,0.00e+00,-404.65315095261354
Solucao Analitica,8.990895314859978e-35,0.00e+00,-404.23790913532
Solucao Analitica,4.1071067109336884e-35,0.00e+00,-403.8226673180264
Solucao Analitica,1.1383240273138163e-34,0.00e+00,-403.4074255007328
Solucao Analitica,5.844328385258936e-35,0.00e+00,-402.9921836834392
Solucao Analitica,3.3963306264301516e-35,0.00e+00,-402.5769418661456
Solucao Analitica,1.8250416215747598e-34,0.00e+00,-402.16170004885197
Solucao Analitica,2.142883204690253e-34,0.00e+00,-401.7464582315584
Solucao Analitica,1.116934453540404e-35,0.00e+00,-401.33121641426476
Solucao Analitica,8.363707270496212e-35,0.00e+00,-400.91597459697124
Solucao Analitica,5.877102260661529e-35,0.00e+00,-400.5007327796776
Solucao Analitica,9.008804186190548e-35,0.00e+00,-400.08549096238403
Solucao Analitica,1.09458884172087e-34,0.00e+00,-399.6702491450904
Solucao Analitica,1.0273010345302037e-34,0.00e+00,-399.2550073277968
Solucao Analitica,4.3465636818182105e-35,0.00e+00,-398.8397655105032
Solucao Analitica,3.629433415650698e-35,0.00e+00,-398.4245236932096
Solucao Analitica,1.3068331318620265e-35,0.00e+00,-398.009281875916
Solucao Analitica,5.602988651936759e-35,0.00e+00,-397.59404005862234
Solucao Analitica,1.4954137277997454e-35,0.00e+00,-397.17879824132876
Solucao Analitica,3.2360747334264846e-34,0.00e+00,-396.7635564240352
Solucao Analitica,3.5056698531503464e-35,0.00e+00,-396.3483146067416
Solucao Analitica,2.5652235943731104e-35,0.00e+00,-395.933072789448
Solucao Analitica,2.7056778922367876e-35,0.00e+00,-395.5178309721544
Solucao Analitica,3.1293563258345374e-34,0.00e+00,-395.10258915486077
Solucao Analitica,5.396404153967579e-35,0.00e+00,-394.6873473375672
Solucao Analitica,7.239389594183506e-36,0.00e+00,-394.27210552027356
Solucao Analitica,6.724615547172309e-35,0.00e+00,-393.85686370298
Solucao Analitica,8.113762333932996e-35,0.00e+00,-393.44162188568635
Solucao Analitica,3.7854203134905777e-35,0.00e+00,-393.0263800683928
Solucao Analitica,5.254532397502382e-35,0.00e+00,-392.6111382510992
Solucao Analitica,5.496577235737459e-35,0.00e+00,-392.1958964338056
Solucao Analitica,3.310661646385123e-35,0.00e+00,-391.780654616512
