E,E_ana,L,L_ana,N,N_ana,a_final,a_final_ana,a_initial,a_initial_ana,conservation,conservation_ana,deltaz,deltaz_ana,dt,iterations,method,program_time,skewness,skewness_ana,stdev,stdev_ana,time_ana
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999993608324,0.9999999993701264,0.9999999995092282,0.9999999995092282,99.99999998516041,99.99999998608982,5.0,5.0,1e-20,55067.0,pe,21.425520181655884,-2.29071131087192e-06,-2.2906983977629746e-06,5.040476697967861,5.040476690194479,2.1739578124997403e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999993677973,0.9999999993694235,0.9999999995092282,0.9999999995092282,99.9999999858569,99.99999998601952,5.0,5.0,5e-20,11014.0,pe,4.239171981811523,-2.297219736291946e-06,-2.2972253382370667e-06,5.040481091380566,5.040481095278413,2.17407656249974e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999993686381,0.9999999993694235,0.9999999995092282,0.9999999995092282,99.99999998594099,99.99999998601952,5.0,5.0,1e-19,5507.0,pe,2.8591933250427246,-2.2972197362902018e-06,-2.2972253382370667e-06,5.040481091381841,5.040481095278413,2.17407656249974e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.99999999936215,0.9999999993623114,0.9999999995092282,0.9999999995092282,99.99999998529218,99.99999998530832,5.0,5.0,5e-19,1102.0,pe,0.456622838973999,-2.3632700447579345e-06,-2.363277219603149e-06,5.0405250385308795,5.040525043263235,2.1752609374997397e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999993622188,0.9999999993623114,0.9999999995092282,0.9999999995092282,99.99999998529906,99.99999998530832,5.0,5.0,1e-18,551.0,pe,0.37674546241760254,-2.3632700195006995e-06,-2.363277219603149e-06,5.04052503853081,5.040525043263235,2.1752609374997397e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999992488747,0.9999999992488938,0.9999999995092282,0.9999999995092282,99.99999997396465,99.99999997396655,5.0,5.0,5e-18,111.0,pe,0.042900800704956055,-3.434673059956915e-06,-3.4346864625834936e-06,5.041113273552598,5.041113279784901,2.1910523437497372e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999990518619,0.9999999990518692,0.9999999995092282,0.9999999995092282,99.99999995426336,99.9999999542641,5.0,5.0,1e-17,56.0,pe,0.023568391799926758,-5.448425190045955e-06,-5.44842779541069e-06,5.041854536854971,5.041854537624741,2.2107914062497338e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999854856954,0.9999999854856911,0.9999999995092282,0.9999999995092282,99.99999859764671,99.99999859764628,5.0,5.0,5e-17,12.0,pe,0.004595279693603516,-0.00017308347934863637,-0.00017308355789268017,5.048039697428852,5.0480396983215785,2.3687050781247055e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999999854856962,0.9999999854856911,0.9999999995092282,0.9999999995092282,99.9999985976468,99.99999859764628,5.0,5.0,1e-16,6.0,pe,0.0025701522827148438,-0.00017308347939892386,-0.00017308355789268017,5.048039697428871,5.0480396983215785,2.3687050781247055e-14
150.0,150.0,100.0,100.0,256.0,256.0,0.9999996295326256,0.9999999453019036,0.9999999995092282,0.9999999995092282,99.99996300233971,99.99999457926754,5.0,5.0,5e-16,4.0,pe,0.001825094223022461,-0.004591421145526961,-0.0007266533583625853,5.510819064343377,5.051013586334696,2.4394999999996923e-14
